timestamp,regiao_atual,status,tempo_parado_seg,tempo_agua_seg,tempo_racao_seg,tempo_cama_seg,visitas_agua,visitas_racao,visitas_cama,movimentos
2026-05-13 22:15:53,fora_das_regioes,SEM MOVIMENTO,1,0,3,0,0,1,1,10
2026-05-13 22:17:12,fora_das_regioes,SEM MOVIMENTO,0,0,0,0,0,3,1,47
2026-05-13 22:17:17,fora_das_regioes,SEM MOVIMENTO,0,0,0,0,2,3,1,82
2026-05-13 22:17:22,fora_das_regioes,SEM MOVIMENTO,0,0,0,0,2,3,1,129
2026-05-13 22:17:27,agua,SEM MOVIMENTO,0,2,0,0,3,3,1,157
2026-05-13 22:17:32,fora_das_regioes,MOVIMENTO DETECTADO,0,6,0,0,5,3,1,258
2026-05-13 22:17:37,racao,MOVIMENTO DETECTADO,1,6,4,0,5,5,1,326
2026-05-13 22:17:42,racao,SEM MOVIMENTO,4,6,9,0,5,5,1,326
2026-05-13 22:17:47,racao,SEM MOVIMENTO,10,6,14,0,5,5,1,326
2026-05-13 22:17:52,racao,SEM MOVIMENTO,15,6,19,0,5,5,1,326
2026-05-13 22:17:57,cama,SEM MOVIMENTO,0,6,20,3,7,7,3,418
2026-05-13 22:18:02,fora_das_regioes,SEM MOVIMENTO,1,6,20,5,7,7,5,456
2026-05-13 22:18:07,fora_das_regioes,SEM MOVIMENTO,6,6,20,5,7,7,5,456
2026-05-13 22:18:12,fora_das_regioes,MOVIMENTO DETECTADO,0,6,20,5,13,8,6,585
2026-05-13 22:18:17,fora_das_regioes,MOVIMENTO DETECTADO,0,6,20,5,13,8,6,678
2026-05-13 22:18:22,fora_das_regioes,MOVIMENTO DETECTADO,0,6,20,5,14,8,6,775
2026-05-13 22:18:27,fora_das_regioes,SEM MOVIMENTO,0,6,21,5,14,9,6,788
2026-05-13 22:18:32,fora_das_regioes,SEM MOVIMENTO,0,6,21,7,15,10,9,821
2026-05-13 22:18:37,cama,SEM MOVIMENTO,0,6,21,11,15,10,10,838
2026-05-13 22:18:42,cama,SEM MOVIMENTO,0,6,21,16,15,10,10,846
2026-05-13 22:18:47,cama,SEM MOVIMENTO,0,6,21,20,15,10,11,860
2026-05-13 22:18:52,cama,SEM MOVIMENTO,2,6,21,25,15,10,11,866
2026-05-13 22:18:57,fora_das_regioes,SEM MOVIMENTO,0,6,23,26,15,11,14,907
2026-05-13 22:19:02,fora_das_regioes,MOVIMENTO DETECTADO,1,7,24,26,20,13,14,963
2026-05-13 22:19:07,fora_das_regioes,SEM MOVIMENTO,0,7,24,26,20,13,14,970
2026-05-13 22:19:12,agua,SEM MOVIMENTO,0,9,24,27,26,13,16,999
2026-05-13 22:19:17,fora_das_regioes,SEM MOVIMENTO,2,12,24,27,26,13,16,1000
2026-05-13 22:19:22,fora_das_regioes,SEM MOVIMENTO,7,12,24,27,26,13,16,1000
2026-05-13 22:19:27,fora_das_regioes,SEM MOVIMENTO,12,12,24,27,26,13,16,1000
2026-05-13 22:19:32,fora_das_regioes,SEM MOVIMENTO,17,12,24,27,26,13,16,1000
2026-05-13 22:19:37,fora_das_regioes,SEM MOVIMENTO,22,12,24,27,26,13,16,1000
2026-05-13 22:19:42,fora_das_regioes,SEM MOVIMENTO,27,12,24,27,26,13,16,1000
2026-05-13 22:19:47,fora_das_regioes,SEM MOVIMENTO,32,12,24,27,26,13,16,1000
2026-05-13 22:19:52,fora_das_regioes,SEM MOVIMENTO,0,12,24,27,26,13,16,1034
2026-05-13 22:19:57,cama,SEM MOVIMENTO,2,12,24,30,26,13,17,1055
2026-05-13 22:20:02,fora_das_regioes,SEM MOVIMENTO,0,12,24,35,26,13,17,1067
2026-05-13 22:20:07,fora_das_regioes,SEM MOVIMENTO,3,12,24,35,26,14,17,1085
2026-05-13 22:20:12,agua,SEM MOVIMENTO,0,14,24,35,38,15,18,1160
2026-05-13 22:20:17,fora_das_regioes,SEM MOVIMENTO,0,17,24,35,40,16,18,1193
2026-05-13 22:20:22,fora_das_regioes,MOVIMENTO DETECTADO,0,17,24,35,40,16,18,1196
2026-05-13 22:20:27,cama,MOVIMENTO DETECTADO,0,17,24,35,40,16,19,1239
